Date,LocationISOCode,Location,NewCases,NewDeaths,NewRecovered,NewActiveCases,TotalCases,TotalDeaths,TotalRecovered,TotalActiveCases,LocationLevel,CityorRegency,Province,Country,Continent,Island,TimeZone,SpecialStatus,TotalRegencies,TotalCities,TotalDistricts,TotalUrbanVillages,TotalRuralVillages,Area(km2),Population,PopulationDensity,Longitude,Latitude,NewCasesperMillion,TotalCasesperMillion,NewDeathsperMillion,TotalDeathsperMillion,TotalDeathsper100rb,CaseFatalityRate,CaseRecoveredRate,GrowthFactorofNewCases,GrowthFactorofNewDeaths
11/21/2021,ID-LA,Lampung,8,1,33,-26,49658,3861,45230,567,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.88,5459.57,0.11,424.49,42.45,0.08,0.91,1.14,1
11/22/2021,ID-LA,Lampung,1,0,3,-2,49659,3861,45233,565,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.11,5459.68,0,424.49,42.45,0.08,0.91,0.13,0
11/23/2021,ID-LA,Lampung,5,1,2,2,49664,3862,45235,567,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.55,5460.23,0.11,424.6,42.46,0.08,0.91,5,
11/24/2021,ID-LA,Lampung,0,2,2,-4,49664,3864,45237,563,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0,5460.23,0.22,424.82,42.48,0.08,0.91,0,2
11/25/2021,ID-LA,Lampung,3,0,5,-2,49667,3864,45242,561,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.33,5460.56,0,424.82,42.48,0.08,0.91,,0
11/26/2021,ID-LA,Lampung,1,1,10,-10,49668,3865,45252,551,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.11,5460.67,0.11,424.93,42.49,0.08,0.91,0.33,
11/27/2021,ID-LA,Lampung,2,0,1,1,49670,3865,45253,552,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.22,5460.89,0,424.93,42.49,0.08,0.91,2,0
11/28/2021,ID-LA,Lampung,4,0,3,1,49674,3865,45256,553,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.44,5461.33,0,424.93,42.49,0.08,0.91,2,1
11/29/2021,ID-LA,Lampung,1,0,3,-2,49675,3865,45259,551,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.11,5461.44,0,424.93,42.49,0.08,0.91,0.25,1
11/30/2021,ID-LA,Lampung,7,1,7,-1,49682,3866,45266,550,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.77,5462.21,0.11,425.04,42.5,0.08,0.91,7,
12/1/2021,ID-LA,Lampung,7,0,5,2,49689,3866,45271,552,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.77,5462.98,0,425.04,42.5,0.08,0.91,1,0
12/2/2021,ID-LA,Lampung,2,0,0,2,49691,3866,45271,554,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.22,5463.2,0,425.04,42.5,0.08,0.91,0.29,1
11/7/2021,ID-LA,Lampung,3,1,12,-10,49592,3851,45049,692,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.33,5452.31,0.11,423.39,42.34,0.08,0.91,3,
11/8/2021,ID-LA,Lampung,2,0,29,-27,49594,3851,45078,665,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.22,5452.53,0,423.39,42.34,0.08,0.91,0.67,0
11/9/2021,ID-LA,Lampung,8,1,6,1,49602,3852,45084,666,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.88,5453.41,0.11,423.5,42.35,0.08,0.91,4,
11/10/2021,ID-LA,Lampung,3,3,14,-14,49605,3855,45098,652,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.33,5453.74,0.33,423.83,42.38,0.08,0.91,0.38,3
11/11/2021,ID-LA,Lampung,5,0,17,-12,49610,3855,45115,640,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.55,5454.29,0,423.83,42.38,0.08,0.91,1.67,0
11/12/2021,ID-LA,Lampung,3,0,1,2,49613,3855,45116,642,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.33,5454.62,0,423.83,42.38,0.08,0.91,0.6,1
11/13/2021,ID-LA,Lampung,6,1,33,-28,49619,3856,45149,614,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.66,5455.28,0.11,423.94,42.39,0.08,0.91,2,
11/14/2021,ID-LA,Lampung,7,1,6,0,49626,3857,45155,614,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.77,5456.05,0.11,424.05,42.41,0.08,0.91,1.17,1
11/15/2021,ID-LA,Lampung,4,0,24,-20,49630,3857,45179,594,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.44,5456.49,0,424.05,42.41,0.08,0.91,0.57,0
11/16/2021,ID-LA,Lampung,5,2,6,-3,49635,3859,45185,591,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.55,5457.04,0.22,424.27,42.43,0.08,0.91,1.25,
11/17/2021,ID-LA,Lampung,2,0,2,0,49637,3859,45187,591,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.22,5457.26,0,424.27,42.43,0.08,0.91,0.4,0
11/18/2021,ID-LA,Lampung,5,0,1,4,49642,3859,45188,595,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.55,5457.81,0,424.27,42.43,0.08,0.91,2.5,1
11/19/2021,ID-LA,Lampung,1,0,0,1,49643,3859,45188,596,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.11,5457.92,0,424.27,42.43,0.08,0.91,0.2,1
11/20/2021,ID-LA,Lampung,7,1,9,-3,49650,3860,45197,593,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.77,5458.69,0.11,424.38,42.44,0.08,0.91,7,
10/30/2021,ID-LA,Lampung,6,1,7,-2,49564,3844,44926,794,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.66,5449.23,0.11,422.62,42.26,0.08,0.91,0.55,1
10/31/2021,ID-LA,Lampung,4,0,5,-1,49568,3844,44931,793,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.44,5449.67,0,422.62,42.26,0.08,0.91,0.67,0
11/1/2021,ID-LA,Lampung,1,3,27,-29,49569,3847,44958,764,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.11,5449.78,0.33,422.95,42.3,0.08,0.91,0.25,
11/2/2021,ID-LA,Lampung,12,1,16,-5,49581,3848,44974,759,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,1.32,5451.1,0.11,423.06,42.31,0.08,0.91,12,0.33
11/3/2021,ID-LA,Lampung,2,1,7,-6,49583,3849,44981,753,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.22,5451.32,0.11,423.17,42.32,0.08,0.91,0.17,1
11/4/2021,ID-LA,Lampung,2,1,48,-47,49585,3850,45029,706,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.22,5451.54,0.11,423.28,42.33,0.08,0.91,1,1
11/5/2021,ID-LA,Lampung,3,0,6,-3,49588,3850,45035,703,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.33,5451.87,0,423.28,42.33,0.08,0.91,1.5,0
11/6/2021,ID-LA,Lampung,1,0,2,-1,49589,3850,45037,702,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.11,5451.98,0,423.28,42.33,0.08,0.91,0.33,1
10/24/2021,ID-LA,Lampung,1,1,8,-8,49507,3835,44650,1022,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.11,5442.97,0.11,421.63,42.16,0.08,0.90,0.1,1
10/25/2021,ID-LA,Lampung,2,1,29,-28,49509,3836,44679,994,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,0.22,5443.19,0.11,421.74,42.17,0.08,0.90,2,1
10/26/2021,ID-LA,Lampung,11,2,56,-47,49520,3838,44735,947,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,1.21,5444.4,0.22,421.96,42.2,0.08,0.90,5.5,2
10/27/2021,ID-LA,Lampung,13,2,34,-23,49533,3840,44769,924,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,1.43,5445.83,0.22,422.18,42.22,0.08,0.90,1.18,1
10/28/2021,ID-LA,Lampung,14,2,136,-124,49547,3842,44905,800,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.7,105.0214366,-4.916792975,1.54,5447.36,0.22,422.4,42.24,0.08,0.91,1.08,1
