Date,Location,NewCases,NewDeaths,NewRecovered,NewActiveCases,TotalCases,TotalDeaths,TotalRecovered,TotalActiveCases,LocationLevel,TotalRegencies,TotalCities,TotalDistricts,TotalUrbanVillages,Area(km2),Population,PopulationDensity,Longitude,Latitude,NewCasesperMillion,TotalCasesperMillion,NewDeathsperMillion,TotalDeathsperMillion,TotalDeathsper100rb,CaseFatalityRate,CaseRecoveredRate
3/1/2020,DKI Jakarta,2,0,0,2,39,20,41,-22,Province,1,5,44,267,664,10846145,16334.31,106.8361183,-6.204698991,0.18,3.6,0,1.84,0.18,51.28%,105.13%
3/2/2020,DKI Jakarta,2,0,0,2,41,20,41,-20,Province,1,5,44,267,664,10846145,16334.31,106.8361183,-6.204698991,0.18,3.78,0,1.84,0.18,48.78%,100.00%
3/2/2020,Indonesia,2,0,0,2,2,0,0,2,Country,416,98,7230,8488,1916907,265185520,138.34,113.921327,-0.789275,0.01,0.01,0,0,0,0.00%,0.00%
3/2/2020,Riau,1,0,0,1,2,0,3,-1,Province,10,2,169,268,87024,6074100,69.8,101.8051092,0.511647851,0.16,0.33,0,0,0,0.00%,150.00%
3/3/2020,DKI Jakarta,2,0,0,2,43,20,41,-18,Province,1,5,44,267,664,10846145,16334.31,106.8361183,-6.204698991,0.18,3.96,0,1.84,0.18,46.51%,95.35%
3/3/2020,Indonesia,0,0,0,0,2,0,0,2,Country,416,98,7230,8488,1916907,265185520,138.34,113.921327,-0.789275,0,0.01,0,0,0,0.00%,0.00%
3/3/2020,Jawa Barat,1,1,0,0,1,1,8,-8,Province,18,9,627,645,35378,45161325,1276.55,107.6037083,-6.920432083,0.02,0.02,0.02,0.02,0,100.00%,800.00%
3/3/2020,Riau,0,0,0,0,2,0,3,-1,Province,10,2,169,268,87024,6074100,69.8,101.8051092,0.511647851,0,0.33,0,0,0,0.00%,150.00%
3/4/2020,DKI Jakarta,2,0,0,2,45,20,41,-16,Province,1,5,44,267,664,10846145,16334.31,106.8361183,-6.204698991,0.18,4.15,0,1.84,0.18,44.44%,91.11%
3/4/2020,Indonesia,0,0,0,0,2,0,0,2,Country,416,98,7230,8488,1916907,265185520,138.34,113.921327,-0.789275,0,0.01,0,0,0,0.00%,0.00%
3/4/2020,Jawa Barat,1,0,0,1,2,1,8,-7,Province,18,9,627,645,35378,45161325,1276.55,107.6037083,-6.920432083,0.02,0.04,0,0.02,0,50.00%,400.00%
3/4/2020,Riau,0,0,0,0,2,0,3,-1,Province,10,2,169,268,87024,6074100,69.8,101.8051092,0.511647851,0,0.33,0,0,0,0.00%,150.00%
3/5/2020,DKI Jakarta,0,1,0,-1,45,21,41,-17,Province,1,5,44,267,664,10846145,16334.31,106.8361183,-6.204698991,0,4.15,0.09,1.94,0.19,46.67%,91.11%
3/5/2020,Indonesia,0,0,0,0,2,0,0,2,Country,416,98,7230,8488,1916907,265185520,138.34,113.921327,-0.789275,0,0.01,0,0,0,0.00%,0.00%
3/5/2020,Jawa Barat,1,0,0,1,3,1,8,-6,Province,18,9,627,645,35378,45161325,1276.55,107.6037083,-6.920432083,0.02,0.07,0,0.02,0,33.33%,266.67%
3/5/2020,Riau,0,0,0,0,2,0,3,-1,Province,10,2,169,268,87024,6074100,69.8,101.8051092,0.511647851,0,0.33,0,0,0,0.00%,150.00%
3/6/2020,Banten,1,0,1,0,1,5,74,-78,Province,4,4,155,313,9663,10722374,1109.64,106.1090043,-6.456736388,0.09,0.09,0,0.47,0.05,500.00%,7400.00%
3/6/2020,DKI Jakarta,0,0,0,0,45,21,41,-17,Province,1,5,44,267,664,10846145,16334.31,106.8361183,-6.204698991,0,4.15,0,1.94,0.19,46.67%,91.11%
3/6/2020,Indonesia,2,0,0,2,4,0,0,4,Country,416,98,7230,8488,1916907,265185520,138.34,113.921327,-0.789275,0.01,0.02,0,0,0,0.00%,0.00%
3/6/2020,Jawa Barat,1,0,0,1,4,1,8,-5,Province,18,9,627,645,35378,45161325,1276.55,107.6037083,-6.920432083,0.02,0.09,0,0.02,0,25.00%,200.00%
3/6/2020,Riau,0,0,0,0,2,0,3,-1,Province,10,2,169,268,87024,6074100,69.8,101.8051092,0.511647851,0,0.33,0,0,0,0.00%,150.00%
3/7/2020,Banten,0,0,0,0,1,5,74,-78,Province,4,4,155,313,9663,10722374,1109.64,106.1090043,-6.456736388,0,0.09,0,0.47,0.05,500.00%,7400.00%
3/7/2020,DKI Jakarta,0,2,0,-2,45,23,41,-19,Province,1,5,44,267,664,10846145,16334.31,106.8361183,-6.204698991,0,4.15,0.18,2.12,0.21,51.11%,91.11%
3/7/2020,Indonesia,0,0,0,0,4,0,0,4,Country,416,98,7230,8488,1916907,265185520,138.34,113.921327,-0.789275,0,0.02,0,0,0,0.00%,0.00%
3/7/2020,Jawa Barat,0,0,0,0,4,1,8,-5,Province,18,9,627,645,35378,45161325,1276.55,107.6037083,-6.920432083,0,0.09,0,0.02,0,25.00%,200.00%
3/7/2020,Riau,0,0,0,0,2,0,3,-1,Province,10,2,169,268,87024,6074100,69.8,101.8051092,0.511647851,0,0.33,0,0,0,0.00%,150.00%
3/8/2020,Banten,1,0,3,-2,2,5,77,-80,Province,4,4,155,313,9663,10722374,1109.64,106.1090043,-6.456736388,0.09,0.19,0,0.47,0.05,250.00%,3850.00%
